City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
108,Cidreira,BR,-30.1811,-50.2056,69.28,75,29,12.24,scattered clouds
109,Lata,PT,40.1629,-8.3327,45.72,55,0,5.99,clear sky
110,Inyonga,TZ,-6.7167,32.0667,65.43,93,100,4.47,overcast clouds
111,Smithers,CA,54.7804,-127.1743,28.72,80,100,2.3,overcast clouds
112,Haines Junction,CA,60.7522,-137.5108,15.75,73,100,2.3,overcast clouds
113,Kuldiga,LV,56.974,21.9572,29.89,83,76,7.34,broken clouds
114,Saldanha,ZA,-33.0117,17.9442,59.05,68,0,9.57,clear sky
115,Alugan,PH,12.2188,125.4808,81.54,80,100,7.65,overcast clouds
116,Raymond Terrace,AU,-32.75,151.75,90.43,61,3,19.57,clear sky
117,Hermanus,ZA,-34.4187,19.2345,67.89,67,40,13.69,scattered clouds
118,Saint-Paul,RE,-21.0096,55.2707,84.29,62,1,4.21,clear sky
119,Veraval,IN,20.9,70.3667,77.47,28,8,4.54,clear sky
120,Cape Town,ZA,-33.9258,18.4232,68.11,73,0,5.99,clear sky
121,Taoudenni,ML,22.6783,-3.9836,67.86,13,100,9.8,overcast clouds
122,Kushima,JP,31.4583,131.2333,53.64,41,70,7.11,broken clouds
123,Bredasdorp,ZA,-34.5322,20.0403,66.27,94,47,4.61,scattered clouds
124,Port Hardy,CA,50.6996,-127.4199,45.75,87,100,3.44,overcast clouds
125,Gien,FR,47.6933,2.6309,39.42,94,80,7.2,broken clouds
126,Ponta Do Sol,PT,32.6667,-17.1,60.01,62,64,5.93,broken clouds
127,Lakatoro,VU,-16.0999,167.4164,81.88,82,100,16.98,light rain
128,Provideniya,RU,64.3833,-173.3,-1.08,98,15,2.95,few clouds
129,Havre-Saint-Pierre,CA,50.2334,-63.5986,-0.4,65,0,10.36,clear sky
130,San Patricio,US,28.017,-97.5169,49.86,51,0,4.92,clear sky
131,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,82,40,9.69,scattered clouds
132,Nalut,LY,30.3333,10.85,39.0,41,30,3.24,scattered clouds
133,Bambous Virieux,MU,-20.3428,57.7575,85.21,79,75,3.44,broken clouds
134,Patiya,BD,22.2931,91.9762,69.75,43,3,0.0,haze
135,Pisco,PE,-13.7,-76.2167,68.05,73,0,3.44,clear sky
136,Chumikan,RU,54.7183,135.315,-3.6,79,78,18.37,broken clouds
137,Rabo De Peixe,PT,37.8,-25.5833,56.71,95,20,5.75,few clouds
138,Nome,US,64.5011,-165.4064,-11.13,70,0,0.0,clear sky
139,Kodiak,US,57.79,-152.4072,26.11,68,100,18.41,light snow
140,Ballesteros,PH,18.4126,121.5152,78.13,85,90,6.69,overcast clouds
141,Pevek,RU,69.7008,170.3133,-11.92,100,100,0.94,overcast clouds
142,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,85,32,9.71,scattered clouds
143,Guerrero Negro,MX,27.9769,-114.0611,63.32,44,6,3.49,clear sky
144,Sassandra,CI,4.95,-6.0833,75.79,90,40,2.48,scattered clouds
145,Pangnirtung,CA,66.1451,-65.7125,-13.72,99,100,3.0,overcast clouds
146,Lang Son,VN,21.8333,106.7333,56.21,90,100,7.09,overcast clouds
147,Kapaa,US,22.0752,-159.319,75.18,77,20,11.5,few clouds
148,Stephenville,US,32.2207,-98.2023,43.16,56,40,0.0,scattered clouds
149,Telma,RU,52.6983,103.7097,4.21,88,94,0.45,overcast clouds
150,Kruisfontein,ZA,-34.0033,24.7314,64.89,73,87,4.99,overcast clouds
151,Jalu,LY,29.0331,21.5482,49.51,81,42,7.9,scattered clouds
152,Central Point,US,42.376,-122.9164,46.72,56,0,0.0,clear sky
153,Torbay,CA,47.6666,-52.7314,30.58,88,100,14.97,overcast clouds
154,Grindavik,IS,63.8424,-22.4338,27.07,68,75,16.11,broken clouds
155,Gazli,UZ,40.1333,63.45,37.11,66,36,6.51,scattered clouds
156,Waingapu,ID,-9.6567,120.2641,86.56,65,99,15.23,overcast clouds
157,Viedma,AR,-40.8135,-62.9967,77.0,37,0,22.37,clear sky
158,Hithadhoo,MV,-0.6,73.0833,81.07,65,35,6.06,scattered clouds
159,Ancud,CL,-41.8697,-73.8203,48.42,81,0,2.82,clear sky
160,Ajaccio,FR,42.0,8.9167,39.25,87,0,9.22,clear sky
161,Itarema,BR,-2.9248,-39.9167,73.38,84,100,3.2,overcast clouds
162,Planovskoye,RU,43.3985,44.1949,26.44,70,16,4.29,few clouds
163,Randfontein,ZA,-26.1844,27.702,62.35,77,79,12.12,broken clouds
164,Bonfim,BR,3.0833,-59.95,78.17,64,89,10.85,overcast clouds
165,Misratah,LY,32.3754,15.0925,51.87,61,0,16.24,clear sky
166,Barrow,US,71.2906,-156.7887,-3.98,77,100,13.8,haze
167,Cooma,AU,-36.2333,149.1333,71.37,78,40,5.75,scattered clouds
168,Esperance,AU,-33.8667,121.9,91.24,46,0,17.18,clear sky
169,Darnah,LY,32.767,22.6367,52.63,77,17,13.2,few clouds
170,Katsuura,JP,35.1333,140.3,46.51,91,100,13.22,overcast clouds
171,Hamilton,US,39.1834,-84.5333,15.31,82,0,1.01,clear sky
172,Paamiut,GL,61.994,-49.6678,20.91,80,100,28.41,light snow
173,Bria,CF,6.5423,21.9863,68.11,24,100,6.6,overcast clouds
174,Kloulklubed,PW,7.0419,134.2556,84.7,78,76,11.83,broken clouds
175,Jinchang,CN,38.4953,102.1739,33.71,18,1,6.04,clear sky
176,Antsohihy,MG,-14.8796,47.9875,81.43,69,37,3.51,scattered clouds
177,Hailar,CN,49.2,119.7,0.63,83,15,6.78,few clouds
178,Kuytun,RU,54.3419,101.5036,-2.22,93,95,2.66,overcast clouds
179,Bereda,ES,43.2686,-7.5406,36.41,95,23,0.83,few clouds
180,Fuling,CN,29.7022,107.3919,41.83,95,100,1.19,overcast clouds
181,Gayny,RU,60.3071,54.3241,13.03,95,100,5.55,light snow
182,Bilma,NE,18.6853,12.9164,51.67,25,0,9.93,clear sky
183,Constitucion,CL,-35.3333,-72.4167,56.05,94,7,4.29,clear sky
184,Neiafu,TO,-18.65,-173.9833,83.25,74,85,15.14,light rain
185,Zavyalovo,RU,54.5053,82.4484,11.25,85,100,5.73,overcast clouds
